canonical_issuer_id,canonical_display_name,issuer_type,country_code,docs_in_snapshot,lei,lei_source,needs_review,notes,proposed_by,proposed_date,status
unicredit-bank,Unicredit Bank Gmbh,corporate,DEU,7,,pending,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
unicredit-bank-ireland-public-limited-company,Unicredit Bank Ireland Public Limited Company,corporate,IRL,154,,pending,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
ury,Oriental Republic of Uruguay,sovereign_state,URY,283,,GLEIF candidates (no exact alias match): 549300RDR012H2V82H43=República Oriental del Uruguay; 579100IKDIDEFDDIH076=BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,true,,fable-architect-session,2026-07-19,proposed
uzb,Republic of Uzbekistan,sovereign_state,UZB,22,213800L6VDKUM3TCM927,GLEIF RESIDENT_GOVERNMENT_ENTITY UZB 2026-07-19 (THE REPUBLIC OF UZBEKISTAN; ISSUED),false,,fable-architect-session,2026-07-19,proposed
uzb-nbu,National Bank for Foreign Economic Activity of the Republic of Uzbekistan,state_owned_entity,UZB,3,,pending,false,,fable-architect-session,2026-07-19,proposed
uzb-nif,National Investment Fund of the Republic of Uzbekistan,state_owned_entity,UZB,2,,pending,true,Raw name carries a stray semicolon,fable-architect-session,2026-07-19,proposed
ven,Bolivarian Republic of Venezuela,sovereign_state,VEN,107,529900XM8PJTJK5OJI77,GLEIF RESIDENT_GOVERNMENT_ENTITY VEN 2026-07-19 (Bolivarian Republic of Venezuela; LAPSED),false,,fable-architect-session,2026-07-19,proposed
vnm,Socialist Republic of Vietnam,sovereign_state,VNM,2,,GLEIF candidates (no exact alias match): 549300VV8X5RR9JOCN38=THE STATE BANK OF VIETNAM,true,,fable-architect-session,2026-07-19,proposed
xxi-century-investments-public-limited,Xxi Century Investments Public Limited,corporate,CYP,1,,pending,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
zaf,Republic of South Africa,sovereign_state,ZAF,156,,GLEIF candidates (no exact alias match): 3789YH3QU1YY1WUUW998=The South African National Roads Agency SOC Ltd; 254900GZDCMAB6ADIN39=University of South Africa; 378900707FAEC496CB53=Export Credit Insurance Corporation of South Africa SOC Ltd; 378900AAFB4F17004C49=National Treasury of the Republic of South Africa,true,TEAL GATE: National Treasury filings mapped to the Republic as issuer of record | TEAL GATE: as above,fable-architect-session,2026-07-19,proposed
zeleznice-slovenskej-republiky,Zeleznice Slovenskej Republiky,corporate,SVK,1,,pending,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
zmb,Republic of Zambia,sovereign_state,ZMB,3,213800DMLAZ6LGMMD849,GLEIF RESIDENT_GOVERNMENT_ENTITY ZMB 2026-07-19 (THE REPUBLIC OF ZAMBIA; ISSUED),false,,fable-architect-session,2026-07-19,proposed
